"codBus","codLinea","sentido","lon","lat","codParIni","last_update"
"731","1.0","2","-4.4640512","36.69268","172","2022-11-21 11:08:41"
"693","1.0","2","-4.4296784","36.71148","362","2022-11-21 11:08:41"
"578","1.0","1","-4.4453683","36.702763","312","2022-11-21 11:08:41"
"595","1.0","2","-4.416465","36.723545","103","2022-11-21 11:08:41"
"608","1.0","2","-4.4639316","36.692863","172","2022-11-21 11:08:41"
"645","1.0","2","-4.421992","36.737865","152","2022-11-21 11:08:41"
"671","1.0","1","-4.434409","36.70881","309","2022-11-21 11:08:41"
"700","1.0","1","-4.4130526","36.72125","170","2022-11-21 11:08:41"
"723","1.0","2","-4.463479","36.69321","172","2022-11-21 11:08:41"
"738","1.0","2","-4.426641","36.714317","364","2022-11-21 11:08:41"
"739","1.0","1","-4.426858","36.716976","305","2022-11-21 11:08:41"
"744","1.0","1","-4.4155803","36.732685","159","2022-11-21 11:08:41"
"746","1.0","2","-4.42055","36.73132","110","2022-11-21 11:08:41"
"755","1.0","2","-4.453379","36.699554","1254","2022-11-21 11:08:41"
"641","1.0","1","-4.422104","36.737865","152","2022-11-21 11:08:41"
"601","2.0","2","-4.425623","36.755535","251","2022-11-21 11:08:41"
"669","2.0","2","-4.4287457","36.717953","961","2022-11-21 11:08:41"
"657","2.0","1","-4.4254994","36.724644","230","2022-11-21 11:08:41"
"720","3.0","1","-4.3568225","36.720768","1131","2022-11-21 11:08:41"
"607","3.0","2","-4.3768725","36.722412","1160","2022-11-21 11:08:41"
"679","3.0","2","-4.4384375","36.705677","310","2022-11-21 11:08:41"
"718","3.0","1","-4.34831","36.72192","1151","2022-11-21 11:08:41"
"719","3.0","2","-4.453275","36.691055","351","2022-11-21 11:08:41"
"724","3.0","1","-4.4383817","36.702686","1259","2022-11-21 11:08:41"
"725","3.0","2","-4.3481097","36.721977","1151","2022-11-21 11:08:41"
"733","3.0","2","-4.422295","36.717876","370","2022-11-21 11:08:41"
"672","3.0","2","-4.4106874","36.721115","1170","2022-11-21 11:08:41"
"609","3.0","1","-4.369808","36.722477","1135","2022-11-21 11:08:41"
"479","3.0","1","-4.4542","36.693207","352","2022-11-21 11:08:41"
"722","3.0","1","-4.4270396","36.715893","253","2022-11-21 11:08:41"
"537","3.0","1","-4.389419","36.722717","1109","2022-11-21 11:08:41"
"580","4.0","2","-4.4317756","36.714077","468","2022-11-21 11:08:41"
"626","4.0","1","-4.412819","36.72073","401","2022-11-21 11:08:41"
"714","4.0","2","-4.463926","36.717346","423","2022-11-21 11:08:41"
"715","4.0","2","-4.455256","36.70944","463","2022-11-21 11:08:41"
"716","4.0","1","-4.4401045","36.712227","407","2022-11-21 11:08:41"
"573","5.0","2","-4.4769306","36.66849","1056","2022-11-21 11:08:41"
"577","5.0","1","-4.4263372","36.71606","305","2022-11-21 11:08:41"
"660","5.0","1","-4.4715643","36.659912","1018","2022-11-21 11:08:41"
