,nombreParada,codParada,lat,lon
0,Av. de las Postas - Lorenza Correa,152,36.737835,-4.4222507
1,Emilio Díaz,153,36.73573,-4.4235854
2,San Juan Bosco - Albéniz,154,36.734028,-4.422321
3,San Juan Bosco - Segalerva,155,36.732384,-4.4218493
4,Eduardo Domínguez Ávila,1354,36.730183,-4.4214997
5,Plaza de Capuchinos,156,36.72956,-4.4204803
6,Alameda de Capuchinos - El Ejido,157,36.73055,-4.419164
7,Alameda de Capuchinos,158,36.73202,-4.417219
8,Cristo de la Epidemia - Fuente Olletas,159,36.732513,-4.4155602
9,Cristo de la Epidemia - Tejeros,160,36.72929,-4.4147544
10,Plaza de la Victoria,161,36.72701,-4.4140153
11,Plaza de la Merced,170,36.723293,-4.416717
12,Paseo del Parque - Plaza del General Torrijos,301,36.72041,-4.4133034
13,Paseo del Parque,164,36.71953,-4.4162693
14,Paseo del Parque - Plaza Marina,1803,36.71878,-4.418946
15,Alameda Principal - Norte,119,36.717865,-4.422057
16,Av. de Andalucía - Hacienda,305,36.716938,-4.4267535
17,Cuarteles - Perchel,306,36.71526,-4.426784
18,Cuarteles - Eslava,307,36.71278,-4.429303
19,Héroe de Sostoa - Estación,308,36.711132,-4.4314823
20,Héroe de Sostoa - La Isla,309,36.70874,-4.434483
21,Héroe de Sostoa - Jardín de la Abadía,310,36.70665,-4.437131
22,Héroe de Sostoa - Obras Públicas,312,36.70484,-4.439438
23,Av. Europa - Bda. Dos Hermanas,1202,36.7024,-4.4466333
24,Av. Europa - Bda. El Torcal,1203,36.70149,-4.449624
25,Av. Europa - San Andrés 1ª Fase,1204,36.70044,-4.451877
26,Av. Europa - Vistafranca,1205,36.699062,-4.4542956
27,Av. Europa - La Luz,1206,36.69834,-4.45557
28,Av. Europa San Andrés - 2ª Fase,1207,36.697647,-4.45684
29,Av. Europa - Cmno. Viejo de Churriana,1209,36.69678,-4.4584746
30,Av. Europa -I.E.S. Santa Bárbara,1211,36.69521,-4.4610763
31,Hermanos Lumière,172,36.692966,-4.463751
32,Av. Europa - Santa Bárbara,1261,36.695618,-4.460172
33,Av. Europa - Cmno. Viejo de Churriana,1252,36.69668,-4.4581833
34,Av. Europa - San Andrés 2ª Fase,1253,36.697674,-4.4563174
35,Av. Europa - Vistafranca,1254,36.69883,-4.454258
36,Av. Europa - San Andrés 1ª Fase,1255,36.700253,-4.451703
37,Av. Europa - Bda. El Torcal,1256,36.701595,-4.4487414
38,Av. de la Paloma,1519,36.702087,-4.445263
39,Av. de la Paloma - Bda. Girón,357,36.70094,-4.442686
40,La Hoz - Mercado  de Huelin,1259,36.7026,-4.4383025
41,Ayala - Jardín de la Abadía,360,36.705757,-4.4361143
42,Ayala - Iglesia,361,36.70729,-4.4344482
43,Ayala - Los Arcos,362,36.709717,-4.431534
44,Salitre - Jacinto Verdaguer,368,36.711807,-4.4289823
45,Salitre - Pasillo del Matadero,364,36.71419,-4.426588
46,Av. de la Aurora - Correos,253,36.71586,-4.42704
47,Alameda Principal - Sur,171,36.717876,-4.42142
48,Paseo del Parque - Plaza de la Marina,116,36.718536,-4.4190254
49,Paseo del Parque - Ayuntamiento,117,36.7195,-4.4155726
50,Paseo del Parque - Plaza del General Torrijos,1201,36.720043,-4.413638
