"codBus","codLinea","sentido","lon","lat","codParIni","last_update"
"741","1.0","2","-4.4223056","36.73788","152","2022-11-11 17:44:03"
"691","1.0","1","-4.416126","36.73313","158","2022-11-11 17:44:03"
"683","1.0","2","-4.453423","36.69951","1254","2022-11-11 17:44:03"
"607","1.0","2","-4.4265394","36.714275","364","2022-11-11 17:44:03"
"649","1.0","1","-4.435722","36.707756","309","2022-11-11 17:44:03"
"740","1.0","2","-4.415576","36.719643","117","2022-11-11 17:44:03"
"744","1.0","2","-4.413615","36.72751","104","2022-11-11 17:44:03"
"745","1.0","1","-4.4220357","36.73782","152","2022-11-11 17:44:03"
"755","1.0","2","-4.4445477","36.70197","1519","2022-11-11 17:44:03"
"688","1.0","1","-4.416013","36.719646","164","2022-11-11 17:44:03"
"693","1.0","1","-4.4267263","36.71531","306","2022-11-11 17:44:03"
"661","1.0","1","-4.4631367","36.69345","1211","2022-11-11 17:44:03"
"689","1.0","2","-4.4637213","36.693","172","2022-11-11 17:44:03"
"572","2.0","2","-4.424793","36.71791","229","2022-11-11 17:44:03"
"573","2.0","2","-4.4234605","36.740974","256","2022-11-11 17:44:03"
"669","2.0","1","-4.423338","36.741013","209","2022-11-11 17:44:03"
"536","3.0","2","-4.4526367","36.69282","318","2022-11-11 17:44:03"
"531","3.0","2","-4.4314194","36.71117","308","2022-11-11 17:44:03"
"645","3.0","1","-4.3940825","36.723618","1109","2022-11-11 17:44:03"
"681","3.0","1","-4.416367","36.719425","1122","2022-11-11 17:44:03"
"718","3.0","1","-4.37704","36.722374","1125","2022-11-11 17:44:03"
"719","3.0","2","-4.454292","36.69334","427","2022-11-11 17:44:03"
"722","3.0","2","-4.422428","36.71781","370","2022-11-11 17:44:03"
"723","3.0","2","-4.348188","36.721966","1151","2022-11-11 17:44:03"
"725","3.0","2","-4.450325","36.691914","318","2022-11-11 17:44:03"
"733","3.0","1","-4.447737","36.698345","355","2022-11-11 17:44:03"
"532","3.0","2","-4.3724065","36.722527","1159","2022-11-11 17:44:03"
"721","3.0","1","-4.4320483","36.709476","361","2022-11-11 17:44:03"
"711","4.0","2","-4.434809","36.71286","460","2022-11-11 17:44:03"
"715","4.0","1","-4.448222","36.711067","410","2022-11-11 17:44:03"
"716","4.0","1","-4.413348","36.720272","401","2022-11-11 17:44:03"
"713","4.0","2","-4.452593","36.71012","452","2022-11-11 17:44:03"
"595","5.0","1","-4.4815035","36.654877","1074","2022-11-11 17:44:03"
"626","5.0","2","-4.471181","36.66857","1078","2022-11-11 17:44:03"
"652","5.0","2","-4.44714","36.69874","355","2022-11-11 17:44:03"
"650","5.0","1","-4.4682846","36.669273","1037","2022-11-11 17:44:03"
"529","7.0","2","-4.429618","36.71788","560","2022-11-11 17:44:03"
"545","7.0","1","-4.433701","36.70805","361","2022-11-11 17:44:03"
"565","7.0","1","-4.4487853","36.685017","1653","2022-11-11 17:44:03"
"588","7.0","1","-4.4308524","36.72588","604","2022-11-11 17:44:03"
"671","7.0","2","-4.4476957","36.689583","1525","2022-11-11 17:44:03"
"739","7.0","2","-4.43583","36.73101","760","2022-11-11 17:44:03"
"746","7.0","1","-4.4236317","36.71749","718","2022-11-11 17:44:03"
"751","7.0","2","-4.4431906","36.695244","1522","2022-11-11 17:44:03"
"684","7.0","2","-4.4317727","36.710922","1606","2022-11-11 17:44:03"
"605","8.0","2","-4.4830084","36.723934","2358","2022-11-11 17:44:03"
"738","8.0","2","-4.3517118","36.71987","1136","2022-11-11 17:44:03"
"479","8.0","2","-4.4669514","36.72514","837","2022-11-11 17:44:03"
"648","8.0","1","-4.3518486","36.719376","1136","2022-11-11 17:44:03"
"539","8.0","1","-4.378973","36.722145","1161","2022-11-11 17:44:03"
"593","8.0","1","-4.4293666","36.71883","621","2022-11-11 17:44:03"
"678","8.0","2","-4.4469433","36.722267","844","2022-11-11 17:44:03"
"747","8.0","1","-4.42766","36.717968","888","2022-11-11 17:44:03"
"748","8.0","1","-4.4727173","36.72275","2304","2022-11-11 17:44:03"
"749","8.0","2","-4.421335","36.718033","322","2022-11-11 17:44:03"
"533","8.0","2","-4.3887067","36.72232","890","2022-11-11 17:44:03"
"692","8.0","2","-4.4832983","36.723873","2358","2022-11-11 17:44:03"
"416","9.0","1","-4.4402146","36.70433","312","2022-11-11 17:44:03"
"657","9.0","1","-4.514175","36.6682","1031","2022-11-11 17:44:03"
"997","9.0","2","-4.427982","36.71298","368","2022-11-11 17:44:03"
"618","10.0","2","-4.4986277","36.660458","1071","2022-11-11 17:44:03"
"621","10.0","2","-4.49692","36.660103","1071","2022-11-11 17:44:03"
